year,quarter,market,internal_class,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,leasing,year_quarter,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent
0.0,q1,atlanta,o,0.4802093881315424,0.4475500554310867,0.3668782410865376,0.0767077277865137,0.24853764620190547,0.508705172647759,2019qq1,0.4728482532901255,0.28027950310559013,0.07856242879374406,0.24519452458686947,0.2554170880472295,0.12974683544303797,0.17934756136479693,0.23867722060621985
0.0,q2,atlanta,a,0.8708883533476496,0.8289919917044062,0.43969718790330686,0.3771584345301995,0.258084690043999,0.9128921429540716,2019qq2,0.8305756523394779,0.610248447204969,0.3976593561021151,0.25746513695497963,0.7042265953931544,0.4113924050632912,0.33658848258867813,0.22135256690079738
0.0,q2,atlanta,o,0.4807708150808927,0.4152877382057668,0.3224316263533354,0.0873168633156175,0.258084690043999,0.3918037033838714,2019qq2,0.441751185893623,0.25077639751552794,0.08930862222274752,0.25746513695497963,0.22247334231559274,0.10759493670886076,0.18623999656641138,0.22135256690079738
0.0,q3,atlanta,o,0.4807708150808927,0.4214734669662259,0.33084199508746326,0.09573789837019829,0.270011118974791,0.3140924735692873,2019qq3,0.4433770767774575,0.2515527950310559,0.09860285061087543,0.2716116018025098,0.25467088768125,0.12974683544303797,0.19485173345897602,0.2026112569016413
0.0,q4,atlanta,a,0.8786798469475279,0.8752595522301054,0.47395173959147086,0.4163259765751596,0.3053943310169838,0.8025030532561898,2019qq4,0.8885825227995219,0.6591614906832298,0.43859174387260436,0.3044739520049623,0.6714337963443833,0.389240506329114,0.3481326340149541,0.23625673885317885
0.0,q4,atlanta,o,0.4830996972411604,0.42947012120647166,0.33939537300749617,0.11955445855602875,0.3053943310169838,0.647081210446454,2019qq4,0.45508059225438185,0.26009316770186336,0.12291656122445706,0.3044739520049623,0.23898891027381963,0.11708860759493671,0.21364314637519116,0.23625673885317885
0.2,q1,atlanta,a,0.8886775301256503,0.9017065789893203,0.4890657941975252,0.4439298404006846,0.327257908471413,0.6612187118342976,2020qq1,0.9182509024880089,0.6809006211180124,0.46933238552105555,0.3268186445650589,0.6735123292250138,0.389240506329114,0.36963861737141457,0.2554265073524176
0.2,q1,atlanta,o,0.48359986627225937,0.4426097777465797,0.35669155783250844,0.11855242194202982,0.327257908471413,0.34291274472310973,2020qq1,0.4656834182054718,0.2670807453416149,0.12183813563621988,0.3268186445650589,0.26471428558818155,0.13291139240506333,0.21902014921435467,0.2554265073524176
0.2,q2,atlanta,a,0.892754529457469,0.98216727078631,0.5544600103344494,0.4572240392940843,0.35212948926941245,0.7464452696117738,2020qq2,1.0,0.7554347826086958,0.4800916371039277,0.349496851080945,0.7306384397350518,0.42405063291139244,0.4054950988213153,0.28739869481265273
0.2,q2,atlanta,o,0.48071173009287127,0.43355879913009554,0.3473332213359847,0.1347788823563429,0.35212948926941245,0.18583535855713598,2020qq2,0.4511385007697579,0.2538819875776398,0.1389887339903777,0.349496851080945,0.29021279951367507,0.14873417721518986,0.23033675901896858,0.28739869481265273
0.2,q3,atlanta,o,0.4756797019330263,0.5011086217341116,0.4449663307562516,0.13659839528444695,0.3491824654548538,0.14076189536275152,2020qq3,0.5191192176516168,0.3183229813664597,0.1406745067059975,0.3468133948934639,0.3420563646095056,0.18354430379746836,0.23527383330715984,0.31094307542965893
0.2,q4,atlanta,o,0.47660608758984024,0.5215838078850015,0.47190354775274707,0.1362930311362765,0.35174602650130243,0.13996496465624653,2020qq4,0.531285125275043,0.32298136645962733,0.14130307730487465,0.3528086909784068,0.4081427643722281,0.22151898734177222,0.22946748439075906,0.2817761379744756
0.4,q1,atlanta,o,0.47587996500521856,0.5649188767066854,0.5321131813206056,0.16888848905276502,0.36257726208063895,0.2888941661218095,2021qq1,0.5797255710745143,0.36645962732919257,0.1730190454921617,0.3641377000739012,0.4125811264859642,0.22151898734177222,0.2798531491874744,0.2803606159467978
0.4,q2,atlanta,o,0.4724538050628318,0.5493628574275614,0.5151269359337616,0.1675075960717922,0.3577145591724598,0.25245247406274285,2021qq2,0.5670618733345267,0.35559006211180133,0.1704999020320744,0.3564534437782022,0.3827875468103907,0.2056962025316456,0.2979513916376998,0.31060951718957097
0.4,q3,atlanta,o,0.4724538050628318,0.542777977929905,0.5060645976544229,0.1710881749519475,0.3744875731456646,0.3601861561046619,2021qq3,0.5613755690605768,0.3493788819875776,0.17766511122131645,0.37559558210153315,0.3721200594017862,0.19620253164556967,0.2510850077578382,0.2894150837808819
0.4,q4,atlanta,o,0.47101648969172294,0.5335350907317538,0.4951214758181235,0.18228454859893226,0.38377446375357094,0.24469967061842315,2021qq4,0.5577507774858459,0.34472049689441003,0.18671374464738816,0.3814475092592284,0.3311437727431485,0.1708860759493671,0.28289172031311,0.33194543978624724
0.6,q1,atlanta,o,0.4741872939433136,0.4857230961587095,0.425577101603309,0.17239541982115064,0.40104304997645124,0.29362147025079877,2022qq1,0.500682396939525,0.29192546583850937,0.19210199644557693,0.3975612927797145,0.34787354963924333,0.18037974683544306,0.2711420402854496,0.36257486628578584
